PNR,SourceSystemTicketingDate,SupplierTicketingDate,SourceSystem,SupplierName,SourceSystemStatus,SupplierStatus,IsOrphan,PCC,TicketingAgentSignOn
DCZSGG,,2025-09-10T17:14:51.376+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCXNRD,,2025-09-10T17:18:43.591+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DC6NL5,,2025-09-10T17:16:28.422+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
DBDZ95,,2025-09-10T17:20:13.753+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
DBTYPC,,2025-09-10T17:27:10.350+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
DBMKPW,,2025-09-10T17:35:17.397+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
DCZXRZ,,2025-09-10T17:34:06.849+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
DCZWPF,,2025-09-10T17:36:10.968+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCZRM4,,2025-09-10T17:11:05.904+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5LH
DCZXH2,,2025-09-10T17:37:09.230+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCZZ6X,,2025-09-10T17:38:48.226+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DD004T,,2025-09-10T17:42:00.439+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCLDNY,,2025-09-10T16:49:51.149+00:00,,Galileo,,Ticketed,TRUE,,
DCMDJD,,2025-09-10T17:46:06.033+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DBMLD7,,2025-09-10T17:41:32.963+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
DC6PNM,,2025-09-10T17:50:22.254+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
DCM86N,,2025-09-10T17:46:37.826+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
