SP_PNR,AIRLINE_PNR,BOOKING_DATE
CLR1BW,9ZNJQ2,2025-06-20 03:37:01
CLPTTQ,,2025-06-20 03:38:24
CLPTTQ,,2025-06-20 03:38:25
CLR1GV,9ZP5FQ,2025-06-20 03:38:48
CLR1M5,9ZOJ6O,2025-06-20 03:40:48
CLFBQ7,,2025-06-20 03:43:36
CLFBQ7,,2025-06-20 03:46:33
CLR27C,9ZQC5Q,2025-06-20 03:49:13
CLFBQ7,,2025-06-20 03:49:25
CLQ6KV,CLQ6KV,2025-06-20 03:54:44
CLN05N,CLN05N,2025-06-20 03:56:01
CLR2ZL,,2025-06-20 03:58:33
CLR31F,F638LV,2025-06-20 03:59:17
CLR33S,9ZT7GS,2025-06-20 04:00:23
CLR3C3,,2025-06-20 04:04:54
CLR3J9,9ZSAWI,2025-06-20 04:05:18
CLQ8WT,CLQ8WT,2025-06-20 04:05:36
CLQD2G,CLQD2G,2025-06-20 04:07:18
CLQD4W,CLQD4W,2025-06-20 04:08:32
CLR1ZX,9ZPT7L,2025-06-20 04:13:32
CLQYGG,9ZITKE,2025-06-20 04:14:21
CLR1XG,9ZP3O8,2025-06-20 04:15:21
CLR4FD,9ZUKKN,2025-06-20 04:15:26
CLR1Z1,9ZOBUY,2025-06-20 04:16:28
CLR1W7,9ZOOY2,2025-06-20 04:18:13
CLQL79,CLQL79,2025-06-20 04:20:20
CLR50J,9ZW5ZS,2025-06-20 04:21:55
CLQLH4,CLQLH4,2025-06-20 04:25:21
CLR63R,PSGG6C,2025-06-20 04:33:43
CLR6NP,723NWM,2025-06-20 04:39:19
CLPK5B,CLPK5B,2025-06-20 04:39:59
CLPMFV,CLPMFV,2025-06-20 04:42:04
CLR7FQ,723B5O,2025-06-20 04:47:42
CLR7HT,725N45,2025-06-20 04:48:28
CLR7MP,724NU8,2025-06-20 04:49:48
CLDHPV,9PE6CT,2025-06-20 04:54:15
CLRC8M,72CECH,2025-06-20 05:24:22
CLRCQZ,143LRA,2025-06-20 05:28:45
CLQQ9R,CLQQ9R,2025-06-20 05:30:39
CLRDYW,72DR86,2025-06-20 05:39:57
CLRGDD,72H8PP,2025-06-20 05:53:00
CLR9XX,729NQF,2025-06-20 06:01:41
CLRHG1,72J8ER,2025-06-20 06:02:20
CLRK8L,143LS0,2025-06-20 06:09:52
CLRKCP,,2025-06-20 06:10:45
CLMSCG,,2025-06-20 06:29:24
CLRMKG,72PB86,2025-06-20 06:30:05
CLRNCN,72RGXA,2025-06-20 06:37:26
CLRTFL,72XUA6,2025-06-20 07:18:43
CLRVJP,,2025-06-20 07:29:40
CLRX4B,98GQ38,2025-06-20 07:38:21
CLRYLL,735OSB,2025-06-20 07:48:25
CLRZQR,98GQF7,2025-06-20 07:56:03
CLRZZ6,738WSZ,2025-06-20 07:57:46
CLS0T5,98GQJT,2025-06-20 08:03:38
CLR1YJ,9ZOR6P,2025-06-20 08:05:13
CLS1B3,RE58AJ,2025-06-20 08:07:14
CLS1KP,98GQNF,2025-06-20 08:08:52
CLS22F,FPWLJ6,2025-06-20 08:11:55
CLS2XL,1358RM,2025-06-20 08:16:42
CLS3RG,98GR22,2025-06-20 08:22:03
CLS407,98GR38,2025-06-20 08:23:32
CLS4F6,73FXDA,2025-06-20 08:25:53
CLRW52,,2025-06-20 08:25:56
CLS4T8,73FIKH,2025-06-20 08:27:47
,,2025-06-20 08:28:07
CLS56K,NVX7P6,2025-06-20 08:30:08
CLS51X,,2025-06-20 08:31:03
CLS546,,2025-06-20 08:32:11
CLS546,,2025-06-20 08:32:34
CLS6K4,DWWWT2,2025-06-20 08:37:42
CLS7B6,98GRY4,2025-06-20 08:41:58
CLS7J2,73IFZ8,2025-06-20 08:43:00
CLS7X1,73IPPS,2025-06-20 08:45:07
CLS9D2,73JP9E,2025-06-20 08:52:57
CLS9D2,,2025-06-20 08:56:48
CLSC53,73MHHW,2025-06-20 09:01:29
CLRZXN,,2025-06-20 09:02:48
